[Mon Jan 13 08:47:56.305821 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:57.317591 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:57.317591 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:57.317591 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:48:01.305665 2025] [php7:warn] [pid 14136:tid 1912] [client ::1:51532] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/
[Mon Jan 13 08:48:01.305665 2025] [php7:warn] [pid 14136:tid 1912] [client ::1:51532] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/
[Mon Jan 13 08:48:01.305665 2025] [php7:warn] [pid 14136:tid 1912] [client ::1:51532] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/
[Mon Jan 13 08:48:03.285919 2025] [php7:warn] [pid 14136:tid 1912] [client ::1:51532] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/
[Mon Jan 13 08:48:03.285919 2025] [php7:warn] [pid 14136:tid 1912] [client ::1:51532] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/
[Mon Jan 13 08:48:03.285919 2025] [php7:warn] [pid 14136:tid 1912] [client ::1:51532] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/
